id_start,id_end,distance,moto_toll,car_toll,rv_toll,bus_toll,truck_toll
1001400,1001402,9.7,7.76,11.639999999999999,14.549999999999999,21.34,34.92
1001400,1001404,0.0,0.0,0.0,0.0,0.0,0.0
1001400,1001406,0.0,0.0,0.0,0.0,0.0,0.0
1001400,1001408,0.0,0.0,0.0,0.0,0.0,0.0
1001400,1001410,0.0,0.0,0.0,0.0,0.0,0.0
1001400,1001412,0.0,0.0,0.0,0.0,0.0,0.0
1001400,1001414,0.0,0.0,0.0,0.0,0.0,0.0
1001400,1001416,0.0,0.0,0.0,0.0,0.0,0.0
1001400,1001418,0.0,0.0,0.0,0.0,0.0,0.0
1001400,1001420,0.0,0.0,0.0,0.0,0.0,0.0
1001400,1001422,0.0,0.0,0.0,0.0,0.0,0.0
1001400,1001424,0.0,0.0,0.0,0.0,0.0,0.0
1001400,1001426,0.0,0.0,0.0,0.0,0.0,0.0
1001400,1001428,0.0,0.0,0.0,0.0,0.0,0.0
1001400,1001430,0.0,0.0,0.0,0.0,0.0,0.0
1001400,1001432,0.0,0.0,0.0,0.0,0.0,0.0
1001400,1001434,0.0,0.0,0.0,0.0,0.0,0.0
1001400,1001436,0.0,0.0,0.0,0.0,0.0,0.0
1001400,1001437,0.0,0.0,0.0,0.0,0.0,0.0
1001400,1001438,0.0,0.0,0.0,0.0,0.0,0.0
1001400,1001440,0.0,0.0,0.0,0.0,0.0,0.0
1001400,1001442,0.0,0.0,0.0,0.0,0.0,0.0
1001400,1001444,0.0,0.0,0.0,0.0,0.0,0.0
1001400,1001446,0.0,0.0,0.0,0.0,0.0,0.0
1001400,1001448,0.0,0.0,0.0,0.0,0.0,0.0
1001400,1001450,0.0,0.0,0.0,0.0,0.0,0.0
1001400,1001452,0.0,0.0,0.0,0.0,0.0,0.0
1001400,1001454,0.0,0.0,0.0,0.0,0.0,0.0
1001400,1001456,0.0,0.0,0.0,0.0,0.0,0.0
1001400,1001458,0.0,0.0,0.0,0.0,0.0,0.0
1001400,1001460,0.0,0.0,0.0,0.0,0.0,0.0
1001400,1001461,0.0,0.0,0.0,0.0,0.0,0.0
1001400,1001462,0.0,0.0,0.0,0.0,0.0,0.0
1001400,1001464,0.0,0.0,0.0,0.0,0.0,0.0
1001400,1001466,0.0,0.0,0.0,0.0,0.0,0.0
1001400,1001468,0.0,0.0,0.0,0.0,0.0,0.0
1001400,1001470,0.0,0.0,0.0,0.0,0.0,0.0
1001400,1001472,0.0,0.0,0.0,0.0,0.0,0.0
1001400,1001488,0.0,0.0,0.0,0.0,0.0,0.0
1001400,1004354,0.0,0.0,0.0,0.0,0.0,0.0
1001400,1004355,0.0,0.0,0.0,0.0,0.0,0.0
1001400,1004356,0.0,0.0,0.0,0.0,0.0,0.0
1001402,1001400,9.7,7.76,11.639999999999999,14.549999999999999,21.34,34.92
1001402,1001404,20.2,16.16,24.24,30.299999999999997,44.440000000000005,72.72
1001402,1001406,0.0,0.0,0.0,0.0,0.0,0.0
1001402,1001408,0.0,0.0,0.0,0.0,0.0,0.0
1001402,1001410,0.0,0.0,0.0,0.0,0.0,0.0
1001402,1001412,0.0,0.0,0.0,0.0,0.0,0.0
1001402,1001414,0.0,0.0,0.0,0.0,0.0,0.0
1001402,1001416,0.0,0.0,0.0,0.0,0.0,0.0
1001402,1001418,0.0,0.0,0.0,0.0,0.0,0.0
1001402,1001420,0.0,0.0,0.0,0.0,0.0,0.0
1001402,1001422,0.0,0.0,0.0,0.0,0.0,0.0
1001402,1001424,0.0,0.0,0.0,0.0,0.0,0.0
1001402,1001426,0.0,0.0,0.0,0.0,0.0,0.0
1001402,1001428,0.0,0.0,0.0,0.0,0.0,0.0
1001402,1001430,0.0,0.0,0.0,0.0,0.0,0.0
1001402,1001432,0.0,0.0,0.0,0.0,0.0,0.0
1001402,1001434,0.0,0.0,0.0,0.0,0.0,0.0
1001402,1001436,0.0,0.0,0.0,0.0,0.0,0.0
1001402,1001437,0.0,0.0,0.0,0.0,0.0,0.0
1001402,1001438,0.0,0.0,0.0,0.0,0.0,0.0
1001402,1001440,0.0,0.0,0.0,0.0,0.0,0.0
1001402,1001442,0.0,0.0,0.0,0.0,0.0,0.0
1001402,1001444,0.0,0.0,0.0,0.0,0.0,0.0
1001402,1001446,0.0,0.0,0.0,0.0,0.0,0.0
1001402,1001448,0.0,0.0,0.0,0.0,0.0,0.0
1001402,1001450,0.0,0.0,0.0,0.0,0.0,0.0
1001402,1001452,0.0,0.0,0.0,0.0,0.0,0.0
1001402,1001454,0.0,0.0,0.0,0.0,0.0,0.0
1001402,1001456,0.0,0.0,0.0,0.0,0.0,0.0
1001402,1001458,0.0,0.0,0.0,0.0,0.0,0.0
1001402,1001460,0.0,0.0,0.0,0.0,0.0,0.0
1001402,1001461,0.0,0.0,0.0,0.0,0.0,0.0
1001402,1001462,0.0,0.0,0.0,0.0,0.0,0.0
1001402,1001464,0.0,0.0,0.0,0.0,0.0,0.0
1001402,1001466,0.0,0.0,0.0,0.0,0.0,0.0
1001402,1001468,0.0,0.0,0.0,0.0,0.0,0.0
1001402,1001470,0.0,0.0,0.0,0.0,0.0,0.0
1001402,1001472,0.0,0.0,0.0,0.0,0.0,0.0
1001402,1001488,0.0,0.0,0.0,0.0,0.0,0.0
1001402,1004354,0.0,0.0,0.0,0.0,0.0,0.0
1001402,1004355,0.0,0.0,0.0,0.0,0.0,0.0
1001402,1004356,0.0,0.0,0.0,0.0,0.0,0.0
1001404,1001400,0.0,0.0,0.0,0.0,0.0,0.0
